ATB ID,solvent,value,error_estimate,formula,inchi
813,water,-0.5,1.19,C10H14,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
814,water,-4.58,0.74,C10H14,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m1/s1"
815,water,-0.65,0.88,C10H14,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3"
816,water,-4.12,1.45,C11H16,"InChI=1S/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3"
817,water,-9.73,0.69,C12H10,"InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H"
818,water,-13.36,0.81,C13H12,"InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2"
819,water,-11.75,0.71,C13H10,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2"
820,water,-9.65,0.5,C10H8,"InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H"
820,hexane,-28.6,0.76,C10H8,"InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H"
821,water,-7.68,1.2,C11H10,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3"
822,water,-7.3,0.54,C12H12,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3"
823,water,-6.04,0.59,C12H12,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3"
824,water,-6.65,0.93,C12H12,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3"
825,water,-7.18,1.23,C12H12,"InChI=1S/C12H12/c1-9-7-11-5-3-4-6-12(11)8-10(9)2/h3-8H,1-2H3"
826,water,-5.18,1.37,C12H12,"InChI=1S/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3"
827,water,-12.29,0.63,C12H8,"InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H"
828,water,-15.33,1.31,C14H10,"InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H"
828,hexane,-41.87,1.04,C14H10,"InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H"
829,water,-15.01,0.72,C14H10,"InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H"
842,water,-18.96,1.02,C4H10O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m1/s1"
843,water,-20.45,1.06,C4H10O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3"
843,hexane,-13.73,1.34,C4H10O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3"
845,water,-21.82,1.18,C5H12O,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
846,water,-19.28,1.05,C5H12O,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3/t5-/m1/s1"
847,water,-15.86,1.22,C5H12O,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3"
848,water,-17.97,1.13,C5H12O,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3"
850,water,-16.19,0.92,C6H14O,"InChI=1S/C6H14O/c1-5(2)6(3,4)7/h5,7H,1-4H3"
851,water,-19.21,1.24,C6H14O,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3/t6-/m1/s1"
853,water,-14.6,1.16,C6H14O,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m0/s1"
854,water,-19.45,1.12,C6H14O,"InChI=1S/C6H14O/c1-4-5-6(2,3)7/h7H,4-5H2,1-3H3"
856,water,-21.49,1.38,C7H16O,"InChI=1S/C7H16O/c1-3-5-7(8)6-4-2/h7-8H,3-6H2,1-2H3"
860,water,-25.29,1.3,C6H12O,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2"
865,water,-22.91,0.73,C10H14O,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3"
867,water,-5.67,0.64,C4H10O,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
867,hexane,-17.43,1.31,C4H10O,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
868,water,-10.36,1.47,C4H10O,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3"
870,water,-7.06,1.31,C5H12O,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3"
871,water,-7.12,1.41,C5H12O,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3"
873,water,-9.77,0.77,C6H14O,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3"
874,water,-8.09,0.88,C6H14O,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
874,hexane,-20.2,1.15,C6H14O,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
875,water,-2.65,1.15,C8H18O,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3"
876,water,-14.5,1.45,C4H8O,"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2"
876,hexane,-20.09,1.24,C4H8O,"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2"
878,water,-14.85,0.79,C5H10O,"InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2"
878,hexane,-23.52,1.26,C5H10O,"InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2"
879,water,-14.9,0.82,C5H10O,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3/t5-/m0/s1"
880,water,-13.6,0.84,C6H12O,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1"
881,water,-13.43,0.88,C7H8O,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
881,hexane,-26.5,1.25,C7H8O,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
882,water,-12.25,0.59,C3H6O,"InChI=1S/C3H6O/c1-3(2)4/h1-2H3"
882,hexane,-10.6,1.1,C3H6O,"InChI=1S/C3H6O/c1-3(2)4/h1-2H3"
